"music","Guns N' Roses - November Rain: https://youtu.be/8SbUC-UaAxE","Nuva",0,1
"music","Bring Me The Horizon - Throne: https://www.youtube.com/watch?v=Ow_qI_F2ZJI&list=PLE8cQoxcJZelvS_NSHNzGMfa_Ul32r7hV","Nuva",0,1
"music","He Nol Haal die vinger uit mn hol - Dikke lul Band: https://www.youtube.com/watch?v=MW-gQMuSZDs","Nuva",0,1
"music","Metallica & San Francisco Symphony Orchestra - Nothing Else Matters: https://youtu.be/ziThYl6B2vw","Nuva",0,1
"music","Slipknot - Wait And Bleed: https://youtu.be/B1zCN0YhW1s","Nuva",0,1
"music","Error 478 - Music not Found.. please contant Pokedex Administration.","Nuva",0,1
"music","Iron Maiden - Fear of the Dark: https://www.youtube.com/watch?v=dQw4w9WgXcQ","Nuva",0,1
"music","Belgie.fm  http://belgie.fm/","Nuva",0,1
"music","Shadows - Lindsey Stirling: https://www.youtube.com/watch?v=JGCsyshUU-A","Nuva",0,1
"music","Vice City - Emotion 98.3: https://youtu.be/Ydn-TWm5wSI","Nuva",0,1
"music","Alégria - Cirque du Soleil: https://www.youtube.com/watch?v=68483tVx0eA","Nuva",0,1
"music","Christopher Tin - Baba Yetu: https://www.youtube.com/watch?v=IJiHDmyhE1A","Nuva",0,1
"music","One Final Effort by Martin O'Donnell, Michael Salvatori: https://youtu.be/CayOFzuMvsg","Nuva",0,1
"music","Vangelis - Pulstar: https://www.youtube.com/watch?v=8UwGl0Yk_jU","Nuva",0,1
"music","Lawineboys - Joost: https://www.youtube.com/watch?v=5zXB8ibh5yk","Nuva",0,1
"music","surprise: https://www.youtube.com/watch?v=X18mUlDddCc","Nuva",0,1
"music","Sarah McLachlan - Fallen: https://youtu.be/Jqps9ZdMxs0","Nuva",0,1
"music","Pokemon Song - https://www.youtube.com/watch?v=JuYeHPFR3f0","Nuva",0,1
"music","Pokerap - https://www.youtube.com/watch?v=xMk8wuw7nek","Nuva",0,1
"music","Thomas Bergersen - Children of the Sun (feat. Merethe Soltvedt): https://www.youtube.com/watch?v=bpxtuUQ28UM","Nuva",0,1
"music","Dafuq did I just watch.. (SFW) https://www.youtube.com/watch?v=Qu5G443dQ4A","Nuva",0,1
"music","Rush - 2112: https://www.youtube.com/watch?v=AZm1_jtY1SQ","Nuva",0,1
"music","Relaxing Pokémon Music Compilation (Vol.2): https://www.youtube.com/watch?v=U4cFS_Yircg","Nuva",0,1
"test","blabla %param%","Essevee21",25,1
"test","Dit is een lock test --lock","Essevee21",0,1
"drol","nuva","sorcix",11,1
"drol","sorcix","sorcix",0,1
"drol","Rha ","sorcix",0,1
"random","https://xkcd.com/221/","Nuva",10,0
"vakantie","http://www.mememaker.net/static/images/memes/3676293.jpg","Essevee21",0,0
"gaat","Ja","Nuva",2,1
"gaat","Nee","Nuva",0,1
"command","whetever you want it to output ","Rha",1,0
"Poele","10:00:18 <Poele> Ik steek graag pokémoan dildos diep in mijn holletje","Rha",14,1
"Poele","11:01 <@Poele> ik kom altijd wa later op Midnightfox :p","Rha",0,1
"Poele","08:50:02 * | Poele haalt zijn ballen uit ","Rha",0,1
"Poele","17:02 <@Poele> als je sommige mensen hun handen ziet wassen na het toilet zou je denken dat ze keihard op hun handen hebben geplast","Rha",0,1
"Poele","10:20:47 @Poele | Leave my balls alone","Rha",0,1
"Poele","kzit in de foef van mijn madam","Rha",0,1
"Mytherious","zooo matchooo ","Rha",33,1
"Mytherious","14:50 -!- Mytherious was kicked from #viveslan by Floppy [not funny]","Rha",0,1
"Mytherious","13:15 <@Mytherious> Now I just look like an idiot","Rha",0,1
"Mytherious","13:24:21 <Mytherious> Cause I don't want to rip my shirt again","Rha",0,1
"Mytherious","13:43:20 <Pokedex> Actually, I don't think you're dyslexic; just really, really stupid. ","Rha",0,1
"Mytherious","15:40 @Mytherious  Semi glijdend, beginnent tussen 8-9","Rha",0,1
"Mytherious","Ja die tampon is zo ene die echt ferm uit mijn kont getrokken is","Rha",0,1
"Mytherious","08:51:27 <Rha> https://goo.gl/photos/naDEEvCDdmgdcx3j6","Rha",0,1
"Mytherious","alles wat op ol eindigt is alcohol in theorie dacht ik","Rha",0,1
"Mytherious","Mytherious: RHA STAY AWAY FROM MY DICK","Rha",0,1
"Mytherious","09:27:45 +Mytherious | Kwil hem niet vervangen, kwil gewoon kunnen afwisselen wat ik bestijg ","Rha",0,1
"saxguy","Mytherious pulls out his saxophone and starts playing epic sax guy","Mytherious",1,0
"sexguy","Mytherious pulls out his sex-o-phone and starts playing epic sex guy","Rha",0,0
"facepalm","%user%'s palm has met %user%'s face","Mytherious",7,0
"aai","Purrrrr","Rha",6,0
"factlist","Ge zijt zelf een factlist","sorcix",0,0
"ticket","Fix het !fact command so it show all the contributors to the fact-array","Mytherious",1,0
"joke","ge zijt zelf ne klucht","sorcix",4,1
"joke","Joke, stop toch met koke.. Kom uit die keuke, me lieve joke!","sorcix",0,1
"joke","Nuva","sorcix",0,1
"joke","Mytherious ","sorcix",0,1
"joke","Denied","sorcix",0,1
"joke","The joke is on you!","sorcix",0,1
"joke","A baker tried to rob a bank. He came in buns glazing!","sorcix",0,1
"saai","marcheerd da nu ?","Yoda",2,0
"Yoda","11:56:04 <Pokedex> Yoda´s poepgaatje has a 0% chance to get laid tonight!","Rha",1,0
"Thom","Please stop annoying the users on this channel, they have actual work to do!","beholder",3,0
"weekend","Wa doe je hier nu nog!? 't is WEEKEND!","beholder",0,0
"beholder","11:04 <+beholder> mmm, dikke boerin-dik ow yeah","Nuva",2,0
"homo","%randomuser% is ne toffe kerel weh.. mo... ti's een homo..","Yoda",34,1
"homo","Yoda is ne homo kerel weh.. mo... ti's een slet..","Yoda",0,1
"homo","%randomuser% is ne toffe kerel weh.. mo... ti's een homo..","Yoda",0,1
"homo","%randomuser% is ne toffe kerel weh.. mo... ti's een homo..","Yoda",0,1
"homo","%randomuser% is ne toffe kerel weh.. mo... ti's een homo..","Yoda",0,1
"homo","%randomuser% is ne toffe kerel weh.. mo... ti's een homo..","Yoda",0,1
"homo","%randomuser% is ne toffe kerel weh.. mo... ti's een homo..","Yoda",0,1
"gaybashing","the act of Yoda going ballsdeep in %randomuser%´s A-Hole","Rha",0,0
"Zwemmers","Rio2016 Belgian swimmers ==> whiners","Poele",0,0
"zwemmers","Rio2016 Belgian swimmers ==> whiners","Poele",1,0
"hide","Hide yo kids! Hide yo wife!","Rha",5,0
"broken","Nuvaaaaa it´s broken again!!!","Rha",0,0
"ignore","I will pretend to ignore %param:%randomuser%% now","Nuva",1,0
"ragepoele","gooit bloempot nen Poele en pakt die naar %randomuser%","Nuva",0,0
"english","ENGLISH, Motherfucker, do YOU speak IT?","Mytherious",1,0
"piss","%user% pisses on %param:%randomuser%%","Mytherious",9,0
"longPost","Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost  Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost Posterdeposterdepost","Poele",1,0
"weirdSymbols","A@#&é3'(§è!çà¨¨^$*€`ù``£%+/.?.,;:=<>{{{}}[}","Poele",1,0
"doctorwho","The first question! The question that must never be answered, hidden in plain sight. The question you've been running from all your life. Doctor who?","Nuva",0,0
